,time,type,price
0,2017-06-19 17:15:36,SELL,2561.8
0,2017-06-19 17:16:39,CLOSE,2563.31
0,2017-06-19 17:17:31,BUY,2562.39
0,2017-06-19 17:20:30,CLOSE,2563.15
0,2017-06-19 17:21:46,BUY,2560.65
0,2017-06-19 17:22:06,CLOSE,2565.6
0,2017-06-19 17:23:18,SELL,2567.87
0,2017-06-19 17:24:15,CLOSE,2565.41
0,2017-06-19 17:25:51,BUY,2563.56
0,2017-06-19 17:26:11,CLOSE,2567.39
0,2017-06-19 17:28:36,BUY,2562.49
0,2017-06-19 17:29:30,CLOSE,2564.9
0,2017-06-19 17:31:20,BUY,2563.57
0,2017-06-19 17:38:20,CLOSE,2559.0
0,2017-06-19 17:38:25,SELL,2559.81
0,2017-06-19 17:43:07,CLOSE,2562.06
0,2017-06-19 17:45:49,SELL,2569.47
0,2017-06-19 17:46:16,CLOSE,2567.32
0,2017-06-19 17:47:55,SELL,2572.31
0,2017-06-19 17:49:29,CLOSE,2570.73
0,2017-06-19 17:49:42,BUY,2569.16
0,2017-06-19 17:49:47,CLOSE,2575.24
0,2017-06-19 17:52:02,BUY,2570.59
0,2017-06-19 17:55:56,CLOSE,2571.11
0,2017-06-19 17:56:05,SELL,2572.3
0,2017-06-19 17:56:49,CLOSE,2570.08
0,2017-06-19 17:58:45,BUY,2569.42
0,2017-06-19 17:58:56,CLOSE,2572.35
0,2017-06-19 17:58:59,BUY,2568.21
0,2017-06-19 17:59:27,CLOSE,2572.47
0,2017-06-19 18:04:55,BUY,2567.1
0,2017-06-19 18:11:33,CLOSE,2566.55
0,2017-06-19 18:23:33,SELL,2575.33
0,2017-06-19 18:25:23,CLOSE,2574.5
0,2017-06-19 18:26:24,BUY,2571.94
0,2017-06-19 18:31:42,CLOSE,2573.0
0,2017-06-19 18:34:12,BUY,2565.87
0,2017-06-19 18:37:30,CLOSE,2565.99
0,2017-06-19 18:37:40,SELL,2566.4
0,2017-06-19 18:40:26,CLOSE,2570.69
0,2017-06-19 18:43:42,BUY,2571.16
0,2017-06-19 18:48:58,CLOSE,2572.31
0,2017-06-19 18:54:38,BUY,2569.23
0,2017-06-19 18:58:00,CLOSE,2566.89
0,2017-06-19 18:58:34,SELL,2568.0
0,2017-06-19 19:04:05,CLOSE,2568.94
